CPUNames
Intel Core i9 processor 14900HX
Intel Core i7 processor 14650HX
Intel Core i7 processor 14700HX
Intel Core i5 processor 14450HX
Intel Core i5 processor 14500HX
Intel Core i9 processor 14900K
Intel Core i3 processor 14100
Intel Core i3 processor 14100T
Intel Core i5 processor 14400F
Intel Core i5 processor 14600KF
Intel Core i5 processor 14500T
Intel Core i7 processor 14700
Intel Core i5 processor 14600T
Intel Core i7 processor 14700K
Intel Core i5 processor 14500
Intel Core i3 processor 14100F
Intel Core i9 processor 14900KF
Intel Core i5 processor 14400
Intel Core i7 processor 14700KF
Intel Core i5 processor 14400T
Intel Core i9 processor 14900T
Intel Core i9 processor 14900
Intel Core i7 processor 14700T
Intel Core i5 processor 14600K
Intel Core i5 processor 14600
Intel Core Ultra 7 processor 155H
Intel Core Ultra 5 processor 125H
Intel Core Ultra 9 processor 185H
Intel Core Ultra 5 processor 135H
Intel Core Ultra 7 processor 165H
Intel Core i9 processor 14900F
Intel Core i7 processor 14700F
Intel Core Ultra 7 processor 155U
Intel Core Ultra 5 processor 135U
Intel Core Ultra 7 processor 165U
Intel Core Ultra 5 processor 125U
Intel Core Ultra 5 processor 134U
Intel Core Ultra 7 processor 164U
